zip,borough,neighborhood
10458,Bronx,Bronx Park and Fordham
10467,Bronx,Bronx Park and Fordham
10468,Bronx,Bronx Park and Fordham
10453,Bronx,Central Bronx
10457,Bronx,Central Bronx
10460,Bronx,Central Bronx
10451,Bronx,High Bridge and Morrisania
10452,Bronx,High Bridge and Morrisania
10456,Bronx,High Bridge and Morrisania
10454,Bronx,Hunts Point and Mott Haven
10455,Bronx,Hunts Point and Mott Haven
10459,Bronx,Hunts Point and Mott Haven
10474,Bronx,Hunts Point and Mott Haven
10463,Bronx,Kingsbridge and Riverdale
10471,Bronx,Kingsbridge and Riverdale
10466,Bronx,Northeast Bronx
10469,Bronx,Northeast Bronx
10470,Bronx,Northeast Bronx
10475,Bronx,Northeast Bronx
10461,Bronx,Southeast Bronx
10462,Bronx,Southeast Bronx
10464,Bronx,Southeast Bronx
10465,Bronx,Southeast Bronx
10472,Bronx,Southeast Bronx
10473,Bronx,Southeast Bronx
11204,Brooklyn,Borough Park
11218,Brooklyn,Borough Park
11219,Brooklyn,Borough Park
11230,Brooklyn,Borough Park
11206,Brooklyn,Bushwick and Williamsburg
11221,Brooklyn,Bushwick and Williamsburg
11237,Brooklyn,Bushwick and Williamsburg
11234,Brooklyn,Canarsie and Flatlands
11236,Brooklyn,Canarsie and Flatlands
11239,Brooklyn,Canarsie and Flatlands
11212,Brooklyn,Central Brooklyn
11213,Brooklyn,Central Brooklyn
11216,Brooklyn,Central Brooklyn
11233,Brooklyn,Central Brooklyn
11238,Brooklyn,Central Brooklyn
11207,Brooklyn,East New York and New Lots
11208,Brooklyn,East New York and New Lots
11203,Brooklyn,Flatbush
11210,Brooklyn,Flatbush
11225,Brooklyn,Flatbush
11226,Brooklyn,Flatbush
11211,Brooklyn,Greenpoint
11222,Brooklyn,Greenpoint
11201,Brooklyn,Northwest Brooklyn
11205,Brooklyn,Northwest Brooklyn
11215,Brooklyn,Northwest Brooklyn
11217,Brooklyn,Northwest Brooklyn
11231,Brooklyn,Northwest Brooklyn
11223,Brooklyn,Southern Brooklyn
11224,Brooklyn,Southern Brooklyn
11229,Brooklyn,Southern Brooklyn
11235,Brooklyn,Southern Brooklyn
11209,Brooklyn,Southwest Brooklyn
11214,Brooklyn,Southwest Brooklyn
11228,Brooklyn,Southwest Brooklyn
11220,Brooklyn,Sunset Park
11232,Brooklyn,Sunset Park
10026,Manhattan,Central Harlem
10027,Manhattan,Central Harlem
10030,Manhattan,Central Harlem
10037,Manhattan,Central Harlem
10039,Manhattan,Central Harlem
10001,Manhattan,Chelsea and Clinton
10011,Manhattan,Chelsea and Clinton
10018,Manhattan,Chelsea and Clinton
10019,Manhattan,Chelsea and Clinton
10020,Manhattan,Chelsea and Clinton
10036,Manhattan,Chelsea and Clinton
10103,Manhattan,Chelsea and Clinton
10110,Manhattan,Chelsea and Clinton
10199,Manhattan,Chelsea and Clinton
10029,Manhattan,East Harlem
10035,Manhattan,East Harlem
10010,Manhattan,Gramercy Park and Murray Hill
10016,Manhattan,Gramercy Park and Murray Hill
10017,Manhattan,Gramercy Park and Murray Hill
10022,Manhattan,Gramercy Park and Murray Hill
10167,Manhattan,Gramercy Park and Murray Hill
10168,Manhattan,Gramercy Park and Murray Hill
10173,Manhattan,Gramercy Park and Murray Hill
10012,Manhattan,Greenwich Village and Soho
10013,Manhattan,Greenwich Village and Soho
10014,Manhattan,Greenwich Village and Soho
